,NoseX,NoseY,NeckX,NeckY,Right_shoulderX,Right_shoulderY,Right_elbowX,Right_elbowY,Right_wristX,Right_wristY,Left_shoulderX,Left_shoulderY,Left_elbowX,Left_elbowY,Left_wristX,Left_wristY,Right_hipX,Right_hipY,Right_kneeX,Right_kneeY,Right_ankleX,Right_ankleY,Left_hipX,Left_hipY,Left_kneeX,Left_kneeY,Left_ankleX,Left_ankleY,Right_eyeX,Right_eyeY,Left_eyeX,Left_eyeY,Right_earX,Right_earY,Left_earX,Left_earY
0,,,,,,,,,,,,,,,,,,,621,475,621,542,,,666,475,672,542,,,,,,,,
1,,,644.0,317.0,,,,,,,,,,,,,655.0,413.0,661,475,672,542,,,666,475,672,542,,,,,,,,
2,,,644.0,317.0,616.0,323.0,604.0,368.0,599.0,407.0,672.0,317.0,689.0,362.0,694.0,407.0,627.0,413.0,621,475,621,542,666.0,413.0,666,475,672,542,,,,,,,,
3,649.0,289.0,644.0,317.0,616.0,323.0,604.0,368.0,599.0,402.0,672.0,317.0,689.0,362.0,694.0,407.0,627.0,413.0,621,475,621,548,666.0,413.0,666,475,672,542,644.0,284.0,655.0,284.0,632.0,284.0,,
4,644.0,289.0,644.0,317.0,616.0,323.0,604.0,368.0,599.0,407.0,672.0,317.0,689.0,362.0,694.0,407.0,627.0,413.0,621,475,621,548,666.0,413.0,666,475,672,542,638.0,284.0,649.0,278.0,632.0,284.0,655.0,284.0
5,644.0,289.0,644.0,317.0,616.0,323.0,604.0,368.0,599.0,407.0,672.0,317.0,689.0,357.0,694.0,407.0,627.0,413.0,621,475,621,548,666.0,413.0,666,475,672,542,638.0,284.0,649.0,284.0,627.0,284.0,661.0,284.0
6,644.0,289.0,644.0,317.0,616.0,323.0,604.0,368.0,599.0,407.0,672.0,317.0,689.0,357.0,694.0,407.0,627.0,413.0,621,475,621,548,666.0,413.0,666,480,672,542,638.0,284.0,649.0,278.0,627.0,284.0,661.0,284.0
7,644.0,284.0,644.0,317.0,616.0,323.0,604.0,368.0,599.0,407.0,672.0,317.0,689.0,357.0,694.0,407.0,627.0,413.0,621,480,621,548,666.0,413.0,666,480,672,542,638.0,284.0,649.0,278.0,627.0,284.0,661.0,284.0
8,644.0,289.0,644.0,317.0,616.0,323.0,604.0,368.0,599.0,407.0,672.0,317.0,689.0,357.0,694.0,402.0,627.0,413.0,621,480,621,548,666.0,413.0,666,480,672,542,638.0,284.0,644.0,284.0,627.0,289.0,655.0,284.0
9,644.0,289.0,644.0,317.0,616.0,323.0,604.0,368.0,599.0,407.0,672.0,317.0,689.0,357.0,694.0,407.0,627.0,413.0,621,480,621,548,666.0,413.0,666,480,672,542,638.0,284.0,644.0,284.0,627.0,284.0,661.0,284.0
10,638.0,289.0,649.0,323.0,616.0,323.0,604.0,368.0,599.0,407.0,672.0,317.0,689.0,357.0,694.0,407.0,627.0,413.0,621,480,621,548,666.0,419.0,666,480,672,542,632.0,284.0,644.0,284.0,627.0,289.0,655.0,284.0
11,644.0,289.0,649.0,323.0,616.0,323.0,604.0,368.0,599.0,407.0,672.0,317.0,689.0,357.0,694.0,407.0,627.0,413.0,621,480,621,548,666.0,413.0,666,480,672,548,638.0,284.0,649.0,284.0,627.0,289.0,655.0,284.0
12,644.0,289.0,649.0,323.0,616.0,323.0,604.0,368.0,599.0,407.0,672.0,317.0,689.0,357.0,694.0,407.0,627.0,413.0,621,480,621,548,666.0,413.0,666,480,672,548,638.0,284.0,644.0,284.0,627.0,289.0,655.0,284.0
13,644.0,289.0,644.0,317.0,616.0,323.0,604.0,374.0,604.0,407.0,672.0,317.0,689.0,357.0,694.0,407.0,627.0,413.0,621,480,621,548,666.0,413.0,666,480,672,542,638.0,284.0,644.0,284.0,627.0,289.0,655.0,284.0
14,644.0,289.0,649.0,317.0,616.0,323.0,604.0,368.0,604.0,407.0,677.0,317.0,689.0,357.0,694.0,407.0,627.0,413.0,621,480,621,548,666.0,413.0,666,480,672,542,638.0,284.0,649.0,284.0,627.0,289.0,661.0,284.0
15,644.0,289.0,649.0,317.0,616.0,323.0,604.0,368.0,604.0,407.0,677.0,317.0,689.0,357.0,694.0,407.0,627.0,413.0,621,480,621,548,666.0,413.0,672,480,672,542,638.0,284.0,649.0,284.0,627.0,289.0,661.0,284.0
16,644.0,295.0,649.0,323.0,621.0,323.0,604.0,368.0,604.0,407.0,677.0,317.0,689.0,357.0,694.0,407.0,632.0,413.0,627,480,621,548,666.0,419.0,672,480,672,542,638.0,284.0,649.0,284.0,632.0,284.0,661.0,284.0
17,644.0,295.0,649.0,323.0,621.0,323.0,610.0,368.0,610.0,413.0,677.0,317.0,689.0,357.0,700.0,407.0,632.0,419.0,627,480,621,548,666.0,419.0,672,480,672,542,638.0,289.0,649.0,284.0,632.0,284.0,661.0,284.0
18,644.0,295.0,649.0,323.0,621.0,323.0,610.0,368.0,610.0,407.0,677.0,317.0,689.0,357.0,700.0,407.0,632.0,419.0,627,480,621,548,666.0,419.0,672,480,672,542,638.0,289.0,649.0,289.0,632.0,289.0,661.0,284.0
19,644.0,295.0,655.0,323.0,627.0,323.0,610.0,368.0,610.0,407.0,683.0,323.0,694.0,362.0,706.0,407.0,638.0,419.0,627,480,621,548,672.0,419.0,672,480,672,542,644.0,284.0,655.0,284.0,632.0,289.0,666.0,284.0
20,649.0,295.0,655.0,323.0,627.0,323.0,616.0,368.0,610.0,407.0,683.0,317.0,694.0,362.0,706.0,413.0,638.0,413.0,627,480,621,548,672.0,419.0,672,480,672,542,644.0,284.0,655.0,284.0,638.0,284.0,666.0,284.0
21,655.0,295.0,655.0,323.0,632.0,323.0,621.0,368.0,610.0,407.0,689.0,323.0,694.0,362.0,706.0,413.0,638.0,419.0,627,480,621,548,672.0,419.0,677,480,672,548,644.0,289.0,661.0,289.0,638.0,284.0,672.0,284.0
22,655.0,295.0,655.0,323.0,632.0,323.0,616.0,368.0,610.0,407.0,689.0,323.0,694.0,368.0,706.0,413.0,638.0,419.0,621,480,616,548,672.0,419.0,677,480,672,548,644.0,289.0,661.0,284.0,638.0,284.0,672.0,289.0
23,655.0,295.0,655.0,329.0,632.0,329.0,616.0,368.0,610.0,407.0,689.0,323.0,694.0,368.0,706.0,413.0,632.0,419.0,621,480,610,548,672.0,424.0,672,480,672,548,644.0,289.0,661.0,289.0,638.0,284.0,672.0,289.0
24,649.0,295.0,655.0,329.0,627.0,329.0,610.0,374.0,599.0,413.0,683.0,329.0,700.0,374.0,706.0,413.0,627.0,419.0,616,486,599,554,666.0,424.0,672,486,672,548,644.0,289.0,661.0,289.0,638.0,284.0,672.0,289.0
25,649.0,295.0,655.0,329.0,627.0,329.0,604.0,374.0,593.0,413.0,677.0,329.0,694.0,368.0,706.0,413.0,627.0,424.0,610,486,593,559,666.0,424.0,666,486,672,548,644.0,289.0,655.0,289.0,632.0,295.0,666.0,289.0
